"","year","state","right2work"
"1",1900,"AL",0
"2",1900,"AK",0
"3",1900,"AZ",0
"4",1900,"AR",0
"5",1900,"CA",0
"6",1900,"CO",0
"7",1900,"CT",0
"8",1900,"DE",0
"9",1900,"DC",0
"10",1900,"FL",0
"11",1900,"GA",0
"12",1900,"HI",0
"13",1900,"ID",0
"14",1900,"IL",0
"15",1900,"IN",0
"16",1900,"IA",0
"17",1900,"KS",0
"18",1900,"KY",0
"19",1900,"LA",0
"20",1900,"ME",0
"21",1900,"MD",0
"22",1900,"MA",0
"23",1900,"MI",0
"24",1900,"MN",0
"25",1900,"MS",0
"26",1900,"MO",0
"27",1900,"MT",0
"28",1900,"NE",0
"29",1900,"NV",0
"30",1900,"NH",0
"31",1900,"NJ",0
"32",1900,"NM",0
"33",1900,"NY",0
"34",1900,"NC",0
"35",1900,"ND",0
"36",1900,"OH",0
"37",1900,"OK",0
"38",1900,"OR",0
"39",1900,"PA",0
"40",1900,"RI",0
"41",1900,"SC",0
"42",1900,"SD",0
"43",1900,"TN",0
"44",1900,"TX",0
"45",1900,"UT",0
"46",1900,"VT",0
"47",1900,"VA",0
"48",1900,"WA",0
"49",1900,"WV",0
"50",1900,"WI",0
"51",1900,"WY",0
"52",1901,"AL",0
"53",1901,"AK",0
"54",1901,"AZ",0
"55",1901,"AR",0
"56",1901,"CA",0
"57",1901,"CO",0
"58",1901,"CT",0
"59",1901,"DE",0
"60",1901,"DC",0
"61",1901,"FL",0
"62",1901,"GA",0
"63",1901,"HI",0
"64",1901,"ID",0
"65",1901,"IL",0
"66",1901,"IN",0
"67",1901,"IA",0
"68",1901,"KS",0
"69",1901,"KY",0
"70",1901,"LA",0
"71",1901,"ME",0
"72",1901,"MD",0
"73",1901,"MA",0
"74",1901,"MI",0
"75",1901,"MN",0
"76",1901,"MS",0
"77",1901,"MO",0
"78",1901,"MT",0
"79",1901,"NE",0
"80",1901,"NV",0
"81",1901,"NH",0
"82",1901,"NJ",0
"83",1901,"NM",0
"84",1901,"NY",0
"85",1901,"NC",0
"86",1901,"ND",0
"87",1901,"OH",0
"88",1901,"OK",0
"89",1901,"OR",0
"90",1901,"PA",0
"91",1901,"RI",0
"92",1901,"SC",0
"93",1901,"SD",0
"94",1901,"TN",0
"95",1901,"TX",0
"96",1901,"UT",0
"97",1901,"VT",0
"98",1901,"VA",0
"99",1901,"WA",0
"100",1901,"WV",0
"101",1901,"WI",0
"102",1901,"WY",0
"103",1902,"AL",0
"104",1902,"AK",0
"105",1902,"AZ",0
"106",1902,"AR",0
"107",1902,"CA",0
"108",1902,"CO",0
"109",1902,"CT",0
"110",1902,"DE",0
"111",1902,"DC",0
"112",1902,"FL",0
"113",1902,"GA",0
"114",1902,"HI",0
"115",1902,"ID",0
"116",1902,"IL",0
"117",1902,"IN",0
"118",1902,"IA",0
"119",1902,"KS",0
"120",1902,"KY",0
"121",1902,"LA",0
"122",1902,"ME",0
"123",1902,"MD",0
"124",1902,"MA",0
"125",1902,"MI",0
"126",1902,"MN",0
"127",1902,"MS",0
"128",1902,"MO",0
"129",1902,"MT",0
"130",1902,"NE",0
"131",1902,"NV",0
"132",1902,"NH",0
"133",1902,"NJ",0
"134",1902,"NM",0
"135",1902,"NY",0
"136",1902,"NC",0
"137",1902,"ND",0
"138",1902,"OH",0
"139",1902,"OK",0
"140",1902,"OR",0
"141",1902,"PA",0
"142",1902,"RI",0
"143",1902,"SC",0
"144",1902,"SD",0
"145",1902,"TN",0
"146",1902,"TX",0
"147",1902,"UT",0
"148",1902,"VT",0
"149",1902,"VA",0
"150",1902,"WA",0
"151",1902,"WV",0
"152",1902,"WI",0
"153",1902,"WY",0
"154",1903,"AL",0
"155",1903,"AK",0
"156",1903,"AZ",0
"157",1903,"AR",0
"158",1903,"CA",0
"159",1903,"CO",0
"160",1903,"CT",0
"161",1903,"DE",0
"162",1903,"DC",0
"163",1903,"FL",0
"164",1903,"GA",0
"165",1903,"HI",0
"166",1903,"ID",0
"167",1903,"IL",0
"168",1903,"IN",0
"169",1903,"IA",0
"170",1903,"KS",0
"171",1903,"KY",0
"172",1903,"LA",0
"173",1903,"ME",0
"174",1903,"MD",0
"175",1903,"MA",0
"176",1903,"MI",0
"177",1903,"MN",0
"178",1903,"MS",0
"179",1903,"MO",0
"180",1903,"MT",0
"181",1903,"NE",0
"182",1903,"NV",0
"183",1903,"NH",0
"184",1903,"NJ",0
"185",1903,"NM",0
"186",1903,"NY",0
"187",1903,"NC",0
"188",1903,"ND",0
"189",1903,"OH",0
"190",1903,"OK",0
"191",1903,"OR",0
"192",1903,"PA",0
"193",1903,"RI",0
"194",1903,"SC",0
"195",1903,"SD",0
"196",1903,"TN",0
"197",1903,"TX",0
"198",1903,"UT",0
"199",1903,"VT",0
"200",1903,"VA",0
"201",1903,"WA",0
"202",1903,"WV",0
"203",1903,"WI",0
"204",1903,"WY",0
"205",1904,"AL",0
"206",1904,"AK",0
"207",1904,"AZ",0
"208",1904,"AR",0
"209",1904,"CA",0
"210",1904,"CO",0
"211",1904,"CT",0
"212",1904,"DE",0
"213",1904,"DC",0
"214",1904,"FL",0
"215",1904,"GA",0
"216",1904,"HI",0
"217",1904,"ID",0
"218",1904,"IL",0
"219",1904,"IN",0
"220",1904,"IA",0
"221",1904,"KS",0
"222",1904,"KY",0
"223",1904,"LA",0
"224",1904,"ME",0
"225",1904,"MD",0
"226",1904,"MA",0
"227",1904,"MI",0
"228",1904,"MN",0
"229",1904,"MS",0
"230",1904,"MO",0
"231",1904,"MT",0
"232",1904,"NE",0
"233",1904,"NV",0
"234",1904,"NH",0
"235",1904,"NJ",0
"236",1904,"NM",0
"237",1904,"NY",0
"238",1904,"NC",0
"239",1904,"ND",0
"240",1904,"OH",0
"241",1904,"OK",0
"242",1904,"OR",0
"243",1904,"PA",0
"244",1904,"RI",0
"245",1904,"SC",0
"246",1904,"SD",0
"247",1904,"TN",0
"248",1904,"TX",0
"249",1904,"UT",0
"250",1904,"VT",0
"251",1904,"VA",0
"252",1904,"WA",0
"253",1904,"WV",0
"254",1904,"WI",0
"255",1904,"WY",0
"256",1905,"AL",0
"257",1905,"AK",0
"258",1905,"AZ",0
"259",1905,"AR",0
"260",1905,"CA",0
"261",1905,"CO",0
"262",1905,"CT",0
"263",1905,"DE",0
"264",1905,"DC",0
"265",1905,"FL",0
"266",1905,"GA",0
"267",1905,"HI",0
"268",1905,"ID",0
"269",1905,"IL",0
"270",1905,"IN",0
"271",1905,"IA",0
"272",1905,"KS",0
"273",1905,"KY",0
"274",1905,"LA",0
"275",1905,"ME",0
"276",1905,"MD",0
"277",1905,"MA",0
"278",1905,"MI",0
"279",1905,"MN",0
"280",1905,"MS",0
"281",1905,"MO",0
"282",1905,"MT",0
"283",1905,"NE",0
"284",1905,"NV",0
"285",1905,"NH",0
"286",1905,"NJ",0
"287",1905,"NM",0
"288",1905,"NY",0
"289",1905,"NC",0
"290",1905,"ND",0
"291",1905,"OH",0
"292",1905,"OK",0
"293",1905,"OR",0
"294",1905,"PA",0
"295",1905,"RI",0
"296",1905,"SC",0
"297",1905,"SD",0
"298",1905,"TN",0
"299",1905,"TX",0
"300",1905,"UT",0
"301",1905,"VT",0
"302",1905,"VA",0
"303",1905,"WA",0
"304",1905,"WV",0
"305",1905,"WI",0
"306",1905,"WY",0
"307",1906,"AL",0
"308",1906,"AK",0
"309",1906,"AZ",0
"310",1906,"AR",0
"311",1906,"CA",0
"312",1906,"CO",0
"313",1906,"CT",0
"314",1906,"DE",0
"315",1906,"DC",0
"316",1906,"FL",0
"317",1906,"GA",0
"318",1906,"HI",0
"319",1906,"ID",0
"320",1906,"IL",0
"321",1906,"IN",0
"322",1906,"IA",0
"323",1906,"KS",0
"324",1906,"KY",0
"325",1906,"LA",0
"326",1906,"ME",0
"327",1906,"MD",0
"328",1906,"MA",0
"329",1906,"MI",0
"330",1906,"MN",0
"331",1906,"MS",0
"332",1906,"MO",0
"333",1906,"MT",0
"334",1906,"NE",0
"335",1906,"NV",0
"336",1906,"NH",0
"337",1906,"NJ",0
"338",1906,"NM",0
"339",1906,"NY",0
"340",1906,"NC",0
"341",1906,"ND",0
"342",1906,"OH",0
"343",1906,"OK",0
"344",1906,"OR",0
"345",1906,"PA",0
"346",1906,"RI",0
"347",1906,"SC",0
"348",1906,"SD",0
"349",1906,"TN",0
"350",1906,"TX",0
"351",1906,"UT",0
"352",1906,"VT",0
"353",1906,"VA",0
"354",1906,"WA",0
"355",1906,"WV",0
"356",1906,"WI",0
"357",1906,"WY",0
"358",1907,"AL",0
"359",1907,"AK",0
"360",1907,"AZ",0
"361",1907,"AR",0
"362",1907,"CA",0
"363",1907,"CO",0
"364",1907,"CT",0
"365",1907,"DE",0
"366",1907,"DC",0
"367",1907,"FL",0
"368",1907,"GA",0
"369",1907,"HI",0
"370",1907,"ID",0
"371",1907,"IL",0
"372",1907,"IN",0
"373",1907,"IA",0
"374",1907,"KS",0
"375",1907,"KY",0
"376",1907,"LA",0
"377",1907,"ME",0
"378",1907,"MD",0
"379",1907,"MA",0
"380",1907,"MI",0
"381",1907,"MN",0
"382",1907,"MS",0
"383",1907,"MO",0
"384",1907,"MT",0
"385",1907,"NE",0
"386",1907,"NV",0
